Title,Location,Content,News,Awards,Facts
University Center – The New School,"New York, New York","Embodying a commitment to sustainable placemaking, the India Basin project proposes the transformation of acres of overgrown former industrial lands on San Francisco's bay into an active waterfront destination and a vibrant, diverse village. Developed in collaboration with city government agencies and residents of the area, SOM’s comprehensive design reconnects surrounding communities with the shoreline, cultivates economic opportunities, and provides mixed-income housing.
A rugged piece of urban land located north of the Bayview Hunters Point neighborhood, the site provides connection to the tranquility of San Francisco Bay and a breathtaking panoramic view that spans from downtown San Francisco to the East Bay mountains. The multiphase, mixed-use project creates a complete community that is human in scale with all basic services and amenities located within short walking distance. It interweaves parks, plazas, and open space with new pedestrian and bicycle-friendly connections, as well as buildings for residential, commercial, and community-serving purposes. Serving as the gateway to this new neighborhood and parkland, the India Basin Market Plaza and Boardwalk will provide a local and regional amenity for culture, commerce, and recreation.
The design also embraces the existing wild character of the land, responding to its specific hydrology and topography and celebrating the connection to San Francisco’s ecological history. A robust stormwater management strategy links streetscape streams and bioswales (landscape elements that remove silt from runoff water) with a landscape of canals, reservoirs, and wetlands. Captured water will be retained for irrigation, street cleaning, and other uses. India Basin preserves the site’s salt marshes and grasslands, while forming an attractive and safe place to live for current and future residents.","SOM Projects Featured in A+U's San Francisco-Focused Issue
Three SOM Projects Honored in 2017 Architect's Newspaper Best of Design Awards
Poly International Plaza and India Basin Receive Spark Awards","2018
Urban Design Finalist: World Changing Ideas Award
Fast Company

2017
Spark Spaces: Bronze
Spark Awards

2017
Best of Design – Winner: Urban Design
Architect's Newspaper

2017
Award of Merit
AIA – California Council

","Location: San Francisco, California
Site Area: 24 acres
Market: Commercial + Office, Residential
Service: Architecture, Sustainable Design, Urban Design + Planning
"
350 Mission Street – Sustainable Design ,"San Francisco, California","Embodying a commitment to sustainable placemaking, the India Basin project proposes the transformation of acres of overgrown former industrial lands on San Francisco's bay into an active waterfront destination and a vibrant, diverse village. Developed in collaboration with city government agencies and residents of the area, SOM’s comprehensive design reconnects surrounding communities with the shoreline, cultivates economic opportunities, and provides mixed-income housing.
A rugged piece of urban land located north of the Bayview Hunters Point neighborhood, the site provides connection to the tranquility of San Francisco Bay and a breathtaking panoramic view that spans from downtown San Francisco to the East Bay mountains. The multiphase, mixed-use project creates a complete community that is human in scale with all basic services and amenities located within short walking distance. It interweaves parks, plazas, and open space with new pedestrian and bicycle-friendly connections, as well as buildings for residential, commercial, and community-serving purposes. Serving as the gateway to this new neighborhood and parkland, the India Basin Market Plaza and Boardwalk will provide a local and regional amenity for culture, commerce, and recreation.
The design also embraces the existing wild character of the land, responding to its specific hydrology and topography and celebrating the connection to San Francisco’s ecological history. A robust stormwater management strategy links streetscape streams and bioswales (landscape elements that remove silt from runoff water) with a landscape of canals, reservoirs, and wetlands. Captured water will be retained for irrigation, street cleaning, and other uses. India Basin preserves the site’s salt marshes and grasslands, while forming an attractive and safe place to live for current and future residents.","SOM Projects Featured in A+U's San Francisco-Focused Issue
Three SOM Projects Honored in 2017 Architect's Newspaper Best of Design Awards
Poly International Plaza and India Basin Receive Spark Awards","2018
Urban Design Finalist: World Changing Ideas Award
Fast Company

2017
Spark Spaces: Bronze
Spark Awards

2017
Best of Design – Winner: Urban Design
Architect's Newspaper

2017
Award of Merit
AIA – California Council

","Location: San Francisco, California
Site Area: 24 acres
Market: Commercial + Office, Residential
Service: Architecture, Sustainable Design, Urban Design + Planning
"
510 Fifth Avenue Renovation and Adaptive Reuse,"New York, New York","Embodying a commitment to sustainable placemaking, the India Basin project proposes the transformation of acres of overgrown former industrial lands on San Francisco's bay into an active waterfront destination and a vibrant, diverse village. Developed in collaboration with city government agencies and residents of the area, SOM’s comprehensive design reconnects surrounding communities with the shoreline, cultivates economic opportunities, and provides mixed-income housing.
A rugged piece of urban land located north of the Bayview Hunters Point neighborhood, the site provides connection to the tranquility of San Francisco Bay and a breathtaking panoramic view that spans from downtown San Francisco to the East Bay mountains. The multiphase, mixed-use project creates a complete community that is human in scale with all basic services and amenities located within short walking distance. It interweaves parks, plazas, and open space with new pedestrian and bicycle-friendly connections, as well as buildings for residential, commercial, and community-serving purposes. Serving as the gateway to this new neighborhood and parkland, the India Basin Market Plaza and Boardwalk will provide a local and regional amenity for culture, commerce, and recreation.
The design also embraces the existing wild character of the land, responding to its specific hydrology and topography and celebrating the connection to San Francisco’s ecological history. A robust stormwater management strategy links streetscape streams and bioswales (landscape elements that remove silt from runoff water) with a landscape of canals, reservoirs, and wetlands. Captured water will be retained for irrigation, street cleaning, and other uses. India Basin preserves the site’s salt marshes and grasslands, while forming an attractive and safe place to live for current and future residents.","SOM Projects Featured in A+U's San Francisco-Focused Issue
Three SOM Projects Honored in 2017 Architect's Newspaper Best of Design Awards
Poly International Plaza and India Basin Receive Spark Awards","2018
Urban Design Finalist: World Changing Ideas Award
Fast Company

2017
Spark Spaces: Bronze
Spark Awards

2017
Best of Design – Winner: Urban Design
Architect's Newspaper

2017
Award of Merit
AIA – California Council

","Location: San Francisco, California
Site Area: 24 acres
Market: Commercial + Office, Residential
Service: Architecture, Sustainable Design, Urban Design + Planning
"
Beijing Bohai Innovation City,"Beijing, China","Embodying a commitment to sustainable placemaking, the India Basin project proposes the transformation of acres of overgrown former industrial lands on San Francisco's bay into an active waterfront destination and a vibrant, diverse village. Developed in collaboration with city government agencies and residents of the area, SOM’s comprehensive design reconnects surrounding communities with the shoreline, cultivates economic opportunities, and provides mixed-income housing.
A rugged piece of urban land located north of the Bayview Hunters Point neighborhood, the site provides connection to the tranquility of San Francisco Bay and a breathtaking panoramic view that spans from downtown San Francisco to the East Bay mountains. The multiphase, mixed-use project creates a complete community that is human in scale with all basic services and amenities located within short walking distance. It interweaves parks, plazas, and open space with new pedestrian and bicycle-friendly connections, as well as buildings for residential, commercial, and community-serving purposes. Serving as the gateway to this new neighborhood and parkland, the India Basin Market Plaza and Boardwalk will provide a local and regional amenity for culture, commerce, and recreation.
The design also embraces the existing wild character of the land, responding to its specific hydrology and topography and celebrating the connection to San Francisco’s ecological history. A robust stormwater management strategy links streetscape streams and bioswales (landscape elements that remove silt from runoff water) with a landscape of canals, reservoirs, and wetlands. Captured water will be retained for irrigation, street cleaning, and other uses. India Basin preserves the site’s salt marshes and grasslands, while forming an attractive and safe place to live for current and future residents.","SOM Projects Featured in A+U's San Francisco-Focused Issue
Three SOM Projects Honored in 2017 Architect's Newspaper Best of Design Awards
Poly International Plaza and India Basin Receive Spark Awards","2018
Urban Design Finalist: World Changing Ideas Award
Fast Company

2017
Spark Spaces: Bronze
Spark Awards

2017
Best of Design – Winner: Urban Design
Architect's Newspaper

2017
Award of Merit
AIA – California Council

","Location: San Francisco, California
Site Area: 24 acres
Market: Commercial + Office, Residential
Service: Architecture, Sustainable Design, Urban Design + Planning
"
Cendere Master Plan,"Istanbul, Turkey","Embodying a commitment to sustainable placemaking, the India Basin project proposes the transformation of acres of overgrown former industrial lands on San Francisco's bay into an active waterfront destination and a vibrant, diverse village. Developed in collaboration with city government agencies and residents of the area, SOM’s comprehensive design reconnects surrounding communities with the shoreline, cultivates economic opportunities, and provides mixed-income housing.
A rugged piece of urban land located north of the Bayview Hunters Point neighborhood, the site provides connection to the tranquility of San Francisco Bay and a breathtaking panoramic view that spans from downtown San Francisco to the East Bay mountains. The multiphase, mixed-use project creates a complete community that is human in scale with all basic services and amenities located within short walking distance. It interweaves parks, plazas, and open space with new pedestrian and bicycle-friendly connections, as well as buildings for residential, commercial, and community-serving purposes. Serving as the gateway to this new neighborhood and parkland, the India Basin Market Plaza and Boardwalk will provide a local and regional amenity for culture, commerce, and recreation.
The design also embraces the existing wild character of the land, responding to its specific hydrology and topography and celebrating the connection to San Francisco’s ecological history. A robust stormwater management strategy links streetscape streams and bioswales (landscape elements that remove silt from runoff water) with a landscape of canals, reservoirs, and wetlands. Captured water will be retained for irrigation, street cleaning, and other uses. India Basin preserves the site’s salt marshes and grasslands, while forming an attractive and safe place to live for current and future residents.","SOM Projects Featured in A+U's San Francisco-Focused Issue
Three SOM Projects Honored in 2017 Architect's Newspaper Best of Design Awards
Poly International Plaza and India Basin Receive Spark Awards","2018
Urban Design Finalist: World Changing Ideas Award
Fast Company

2017
Spark Spaces: Bronze
Spark Awards

2017
Best of Design – Winner: Urban Design
Architect's Newspaper

2017
Award of Merit
AIA – California Council

","Location: San Francisco, California
Site Area: 24 acres
Market: Commercial + Office, Residential
Service: Architecture, Sustainable Design, Urban Design + Planning
"
"Diagonal Tower, Yongsan International Business District","Seoul, South Korea","Embodying a commitment to sustainable placemaking, the India Basin project proposes the transformation of acres of overgrown former industrial lands on San Francisco's bay into an active waterfront destination and a vibrant, diverse village. Developed in collaboration with city government agencies and residents of the area, SOM’s comprehensive design reconnects surrounding communities with the shoreline, cultivates economic opportunities, and provides mixed-income housing.
A rugged piece of urban land located north of the Bayview Hunters Point neighborhood, the site provides connection to the tranquility of San Francisco Bay and a breathtaking panoramic view that spans from downtown San Francisco to the East Bay mountains. The multiphase, mixed-use project creates a complete community that is human in scale with all basic services and amenities located within short walking distance. It interweaves parks, plazas, and open space with new pedestrian and bicycle-friendly connections, as well as buildings for residential, commercial, and community-serving purposes. Serving as the gateway to this new neighborhood and parkland, the India Basin Market Plaza and Boardwalk will provide a local and regional amenity for culture, commerce, and recreation.
The design also embraces the existing wild character of the land, responding to its specific hydrology and topography and celebrating the connection to San Francisco’s ecological history. A robust stormwater management strategy links streetscape streams and bioswales (landscape elements that remove silt from runoff water) with a landscape of canals, reservoirs, and wetlands. Captured water will be retained for irrigation, street cleaning, and other uses. India Basin preserves the site’s salt marshes and grasslands, while forming an attractive and safe place to live for current and future residents.","SOM Projects Featured in A+U's San Francisco-Focused Issue
Three SOM Projects Honored in 2017 Architect's Newspaper Best of Design Awards
Poly International Plaza and India Basin Receive Spark Awards","2018
Urban Design Finalist: World Changing Ideas Award
Fast Company

2017
Spark Spaces: Bronze
Spark Awards

2017
Best of Design – Winner: Urban Design
Architect's Newspaper

2017
Award of Merit
AIA – California Council

","Location: San Francisco, California
Site Area: 24 acres
Market: Commercial + Office, Residential
Service: Architecture, Sustainable Design, Urban Design + Planning
"
Everett McKinley Dirksen U.S. Courthouse Renovation,"Chicago, Illinois","Embodying a commitment to sustainable placemaking, the India Basin project proposes the transformation of acres of overgrown former industrial lands on San Francisco's bay into an active waterfront destination and a vibrant, diverse village. Developed in collaboration with city government agencies and residents of the area, SOM’s comprehensive design reconnects surrounding communities with the shoreline, cultivates economic opportunities, and provides mixed-income housing.
A rugged piece of urban land located north of the Bayview Hunters Point neighborhood, the site provides connection to the tranquility of San Francisco Bay and a breathtaking panoramic view that spans from downtown San Francisco to the East Bay mountains. The multiphase, mixed-use project creates a complete community that is human in scale with all basic services and amenities located within short walking distance. It interweaves parks, plazas, and open space with new pedestrian and bicycle-friendly connections, as well as buildings for residential, commercial, and community-serving purposes. Serving as the gateway to this new neighborhood and parkland, the India Basin Market Plaza and Boardwalk will provide a local and regional amenity for culture, commerce, and recreation.
The design also embraces the existing wild character of the land, responding to its specific hydrology and topography and celebrating the connection to San Francisco’s ecological history. A robust stormwater management strategy links streetscape streams and bioswales (landscape elements that remove silt from runoff water) with a landscape of canals, reservoirs, and wetlands. Captured water will be retained for irrigation, street cleaning, and other uses. India Basin preserves the site’s salt marshes and grasslands, while forming an attractive and safe place to live for current and future residents.","SOM Projects Featured in A+U's San Francisco-Focused Issue
Three SOM Projects Honored in 2017 Architect's Newspaper Best of Design Awards
Poly International Plaza and India Basin Receive Spark Awards","2018
Urban Design Finalist: World Changing Ideas Award
Fast Company

2017
Spark Spaces: Bronze
Spark Awards

2017
Best of Design – Winner: Urban Design
Architect's Newspaper

2017
Award of Merit
AIA – California Council

","Location: San Francisco, California
Site Area: 24 acres
Market: Commercial + Office, Residential
Service: Architecture, Sustainable Design, Urban Design + Planning
"
Feidi Next C Master Plan,"Tianjin, China","Embodying a commitment to sustainable placemaking, the India Basin project proposes the transformation of acres of overgrown former industrial lands on San Francisco's bay into an active waterfront destination and a vibrant, diverse village. Developed in collaboration with city government agencies and residents of the area, SOM’s comprehensive design reconnects surrounding communities with the shoreline, cultivates economic opportunities, and provides mixed-income housing.
A rugged piece of urban land located north of the Bayview Hunters Point neighborhood, the site provides connection to the tranquility of San Francisco Bay and a breathtaking panoramic view that spans from downtown San Francisco to the East Bay mountains. The multiphase, mixed-use project creates a complete community that is human in scale with all basic services and amenities located within short walking distance. It interweaves parks, plazas, and open space with new pedestrian and bicycle-friendly connections, as well as buildings for residential, commercial, and community-serving purposes. Serving as the gateway to this new neighborhood and parkland, the India Basin Market Plaza and Boardwalk will provide a local and regional amenity for culture, commerce, and recreation.
The design also embraces the existing wild character of the land, responding to its specific hydrology and topography and celebrating the connection to San Francisco’s ecological history. A robust stormwater management strategy links streetscape streams and bioswales (landscape elements that remove silt from runoff water) with a landscape of canals, reservoirs, and wetlands. Captured water will be retained for irrigation, street cleaning, and other uses. India Basin preserves the site’s salt marshes and grasslands, while forming an attractive and safe place to live for current and future residents.","SOM Projects Featured in A+U's San Francisco-Focused Issue
Three SOM Projects Honored in 2017 Architect's Newspaper Best of Design Awards
Poly International Plaza and India Basin Receive Spark Awards","2018
Urban Design Finalist: World Changing Ideas Award
Fast Company

2017
Spark Spaces: Bronze
Spark Awards

2017
Best of Design – Winner: Urban Design
Architect's Newspaper

2017
Award of Merit
AIA – California Council

","Location: San Francisco, California
Site Area: 24 acres
Market: Commercial + Office, Residential
Service: Architecture, Sustainable Design, Urban Design + Planning
"
Golden Hills,"Da Nang City, Vietnam","Embodying a commitment to sustainable placemaking, the India Basin project proposes the transformation of acres of overgrown former industrial lands on San Francisco's bay into an active waterfront destination and a vibrant, diverse village. Developed in collaboration with city government agencies and residents of the area, SOM’s comprehensive design reconnects surrounding communities with the shoreline, cultivates economic opportunities, and provides mixed-income housing.
A rugged piece of urban land located north of the Bayview Hunters Point neighborhood, the site provides connection to the tranquility of San Francisco Bay and a breathtaking panoramic view that spans from downtown San Francisco to the East Bay mountains. The multiphase, mixed-use project creates a complete community that is human in scale with all basic services and amenities located within short walking distance. It interweaves parks, plazas, and open space with new pedestrian and bicycle-friendly connections, as well as buildings for residential, commercial, and community-serving purposes. Serving as the gateway to this new neighborhood and parkland, the India Basin Market Plaza and Boardwalk will provide a local and regional amenity for culture, commerce, and recreation.
The design also embraces the existing wild character of the land, responding to its specific hydrology and topography and celebrating the connection to San Francisco’s ecological history. A robust stormwater management strategy links streetscape streams and bioswales (landscape elements that remove silt from runoff water) with a landscape of canals, reservoirs, and wetlands. Captured water will be retained for irrigation, street cleaning, and other uses. India Basin preserves the site’s salt marshes and grasslands, while forming an attractive and safe place to live for current and future residents.","SOM Projects Featured in A+U's San Francisco-Focused Issue
Three SOM Projects Honored in 2017 Architect's Newspaper Best of Design Awards
Poly International Plaza and India Basin Receive Spark Awards","2018
Urban Design Finalist: World Changing Ideas Award
Fast Company

2017
Spark Spaces: Bronze
Spark Awards

2017
Best of Design – Winner: Urban Design
Architect's Newspaper

2017
Award of Merit
AIA – California Council

","Location: San Francisco, California
Site Area: 24 acres
Market: Commercial + Office, Residential
Service: Architecture, Sustainable Design, Urban Design + Planning
"
Grand Central's Next 100,"New York, New York","Embodying a commitment to sustainable placemaking, the India Basin project proposes the transformation of acres of overgrown former industrial lands on San Francisco's bay into an active waterfront destination and a vibrant, diverse village. Developed in collaboration with city government agencies and residents of the area, SOM’s comprehensive design reconnects surrounding communities with the shoreline, cultivates economic opportunities, and provides mixed-income housing.
A rugged piece of urban land located north of the Bayview Hunters Point neighborhood, the site provides connection to the tranquility of San Francisco Bay and a breathtaking panoramic view that spans from downtown San Francisco to the East Bay mountains. The multiphase, mixed-use project creates a complete community that is human in scale with all basic services and amenities located within short walking distance. It interweaves parks, plazas, and open space with new pedestrian and bicycle-friendly connections, as well as buildings for residential, commercial, and community-serving purposes. Serving as the gateway to this new neighborhood and parkland, the India Basin Market Plaza and Boardwalk will provide a local and regional amenity for culture, commerce, and recreation.
The design also embraces the existing wild character of the land, responding to its specific hydrology and topography and celebrating the connection to San Francisco’s ecological history. A robust stormwater management strategy links streetscape streams and bioswales (landscape elements that remove silt from runoff water) with a landscape of canals, reservoirs, and wetlands. Captured water will be retained for irrigation, street cleaning, and other uses. India Basin preserves the site’s salt marshes and grasslands, while forming an attractive and safe place to live for current and future residents.","SOM Projects Featured in A+U's San Francisco-Focused Issue
Three SOM Projects Honored in 2017 Architect's Newspaper Best of Design Awards
Poly International Plaza and India Basin Receive Spark Awards","2018
Urban Design Finalist: World Changing Ideas Award
Fast Company

2017
Spark Spaces: Bronze
Spark Awards

2017
Best of Design – Winner: Urban Design
Architect's Newspaper

2017
Award of Merit
AIA – California Council

","Location: San Francisco, California
Site Area: 24 acres
Market: Commercial + Office, Residential
Service: Architecture, Sustainable Design, Urban Design + Planning
"
Guangzhou University Town Four Villages,"Guangzhou, China","Embodying a commitment to sustainable placemaking, the India Basin project proposes the transformation of acres of overgrown former industrial lands on San Francisco's bay into an active waterfront destination and a vibrant, diverse village. Developed in collaboration with city government agencies and residents of the area, SOM’s comprehensive design reconnects surrounding communities with the shoreline, cultivates economic opportunities, and provides mixed-income housing.
A rugged piece of urban land located north of the Bayview Hunters Point neighborhood, the site provides connection to the tranquility of San Francisco Bay and a breathtaking panoramic view that spans from downtown San Francisco to the East Bay mountains. The multiphase, mixed-use project creates a complete community that is human in scale with all basic services and amenities located within short walking distance. It interweaves parks, plazas, and open space with new pedestrian and bicycle-friendly connections, as well as buildings for residential, commercial, and community-serving purposes. Serving as the gateway to this new neighborhood and parkland, the India Basin Market Plaza and Boardwalk will provide a local and regional amenity for culture, commerce, and recreation.
The design also embraces the existing wild character of the land, responding to its specific hydrology and topography and celebrating the connection to San Francisco’s ecological history. A robust stormwater management strategy links streetscape streams and bioswales (landscape elements that remove silt from runoff water) with a landscape of canals, reservoirs, and wetlands. Captured water will be retained for irrigation, street cleaning, and other uses. India Basin preserves the site’s salt marshes and grasslands, while forming an attractive and safe place to live for current and future residents.","SOM Projects Featured in A+U's San Francisco-Focused Issue
Three SOM Projects Honored in 2017 Architect's Newspaper Best of Design Awards
Poly International Plaza and India Basin Receive Spark Awards","2018
Urban Design Finalist: World Changing Ideas Award
Fast Company

2017
Spark Spaces: Bronze
Spark Awards

2017
Best of Design – Winner: Urban Design
Architect's Newspaper

2017
Award of Merit
AIA – California Council

","Location: San Francisco, California
Site Area: 24 acres
Market: Commercial + Office, Residential
Service: Architecture, Sustainable Design, Urban Design + Planning
"
Halcon Mesa Conference Table,"Chicago, Illinois","Embodying a commitment to sustainable placemaking, the India Basin project proposes the transformation of acres of overgrown former industrial lands on San Francisco's bay into an active waterfront destination and a vibrant, diverse village. Developed in collaboration with city government agencies and residents of the area, SOM’s comprehensive design reconnects surrounding communities with the shoreline, cultivates economic opportunities, and provides mixed-income housing.
A rugged piece of urban land located north of the Bayview Hunters Point neighborhood, the site provides connection to the tranquility of San Francisco Bay and a breathtaking panoramic view that spans from downtown San Francisco to the East Bay mountains. The multiphase, mixed-use project creates a complete community that is human in scale with all basic services and amenities located within short walking distance. It interweaves parks, plazas, and open space with new pedestrian and bicycle-friendly connections, as well as buildings for residential, commercial, and community-serving purposes. Serving as the gateway to this new neighborhood and parkland, the India Basin Market Plaza and Boardwalk will provide a local and regional amenity for culture, commerce, and recreation.
The design also embraces the existing wild character of the land, responding to its specific hydrology and topography and celebrating the connection to San Francisco’s ecological history. A robust stormwater management strategy links streetscape streams and bioswales (landscape elements that remove silt from runoff water) with a landscape of canals, reservoirs, and wetlands. Captured water will be retained for irrigation, street cleaning, and other uses. India Basin preserves the site’s salt marshes and grasslands, while forming an attractive and safe place to live for current and future residents.","SOM Projects Featured in A+U's San Francisco-Focused Issue
Three SOM Projects Honored in 2017 Architect's Newspaper Best of Design Awards
Poly International Plaza and India Basin Receive Spark Awards","2018
Urban Design Finalist: World Changing Ideas Award
Fast Company

2017
Spark Spaces: Bronze
Spark Awards

2017
Best of Design – Winner: Urban Design
Architect's Newspaper

2017
Award of Merit
AIA – California Council

","Location: San Francisco, California
Site Area: 24 acres
Market: Commercial + Office, Residential
Service: Architecture, Sustainable Design, Urban Design + Planning
"
Interni Legacy Installation,"Milan, Italy","Embodying a commitment to sustainable placemaking, the India Basin project proposes the transformation of acres of overgrown former industrial lands on San Francisco's bay into an active waterfront destination and a vibrant, diverse village. Developed in collaboration with city government agencies and residents of the area, SOM’s comprehensive design reconnects surrounding communities with the shoreline, cultivates economic opportunities, and provides mixed-income housing.
A rugged piece of urban land located north of the Bayview Hunters Point neighborhood, the site provides connection to the tranquility of San Francisco Bay and a breathtaking panoramic view that spans from downtown San Francisco to the East Bay mountains. The multiphase, mixed-use project creates a complete community that is human in scale with all basic services and amenities located within short walking distance. It interweaves parks, plazas, and open space with new pedestrian and bicycle-friendly connections, as well as buildings for residential, commercial, and community-serving purposes. Serving as the gateway to this new neighborhood and parkland, the India Basin Market Plaza and Boardwalk will provide a local and regional amenity for culture, commerce, and recreation.
The design also embraces the existing wild character of the land, responding to its specific hydrology and topography and celebrating the connection to San Francisco’s ecological history. A robust stormwater management strategy links streetscape streams and bioswales (landscape elements that remove silt from runoff water) with a landscape of canals, reservoirs, and wetlands. Captured water will be retained for irrigation, street cleaning, and other uses. India Basin preserves the site’s salt marshes and grasslands, while forming an attractive and safe place to live for current and future residents.","SOM Projects Featured in A+U's San Francisco-Focused Issue
Three SOM Projects Honored in 2017 Architect's Newspaper Best of Design Awards
Poly International Plaza and India Basin Receive Spark Awards","2018
Urban Design Finalist: World Changing Ideas Award
Fast Company

2017
Spark Spaces: Bronze
Spark Awards

2017
Best of Design – Winner: Urban Design
Architect's Newspaper

2017
Award of Merit
AIA – California Council

","Location: San Francisco, California
Site Area: 24 acres
Market: Commercial + Office, Residential
Service: Architecture, Sustainable Design, Urban Design + Planning
"
Moody Performance Hall,"Dallas, Texas","Embodying a commitment to sustainable placemaking, the India Basin project proposes the transformation of acres of overgrown former industrial lands on San Francisco's bay into an active waterfront destination and a vibrant, diverse village. Developed in collaboration with city government agencies and residents of the area, SOM’s comprehensive design reconnects surrounding communities with the shoreline, cultivates economic opportunities, and provides mixed-income housing.
A rugged piece of urban land located north of the Bayview Hunters Point neighborhood, the site provides connection to the tranquility of San Francisco Bay and a breathtaking panoramic view that spans from downtown San Francisco to the East Bay mountains. The multiphase, mixed-use project creates a complete community that is human in scale with all basic services and amenities located within short walking distance. It interweaves parks, plazas, and open space with new pedestrian and bicycle-friendly connections, as well as buildings for residential, commercial, and community-serving purposes. Serving as the gateway to this new neighborhood and parkland, the India Basin Market Plaza and Boardwalk will provide a local and regional amenity for culture, commerce, and recreation.
The design also embraces the existing wild character of the land, responding to its specific hydrology and topography and celebrating the connection to San Francisco’s ecological history. A robust stormwater management strategy links streetscape streams and bioswales (landscape elements that remove silt from runoff water) with a landscape of canals, reservoirs, and wetlands. Captured water will be retained for irrigation, street cleaning, and other uses. India Basin preserves the site’s salt marshes and grasslands, while forming an attractive and safe place to live for current and future residents.","SOM Projects Featured in A+U's San Francisco-Focused Issue
Three SOM Projects Honored in 2017 Architect's Newspaper Best of Design Awards
Poly International Plaza and India Basin Receive Spark Awards","2018
Urban Design Finalist: World Changing Ideas Award
Fast Company

2017
Spark Spaces: Bronze
Spark Awards

2017
Best of Design – Winner: Urban Design
Architect's Newspaper

2017
Award of Merit
AIA – California Council

","Location: San Francisco, California
Site Area: 24 acres
Market: Commercial + Office, Residential
Service: Architecture, Sustainable Design, Urban Design + Planning
"
Park Hyatt Riyadh,"Riyadh, Saudi Arabia","Embodying a commitment to sustainable placemaking, the India Basin project proposes the transformation of acres of overgrown former industrial lands on San Francisco's bay into an active waterfront destination and a vibrant, diverse village. Developed in collaboration with city government agencies and residents of the area, SOM’s comprehensive design reconnects surrounding communities with the shoreline, cultivates economic opportunities, and provides mixed-income housing.
A rugged piece of urban land located north of the Bayview Hunters Point neighborhood, the site provides connection to the tranquility of San Francisco Bay and a breathtaking panoramic view that spans from downtown San Francisco to the East Bay mountains. The multiphase, mixed-use project creates a complete community that is human in scale with all basic services and amenities located within short walking distance. It interweaves parks, plazas, and open space with new pedestrian and bicycle-friendly connections, as well as buildings for residential, commercial, and community-serving purposes. Serving as the gateway to this new neighborhood and parkland, the India Basin Market Plaza and Boardwalk will provide a local and regional amenity for culture, commerce, and recreation.
The design also embraces the existing wild character of the land, responding to its specific hydrology and topography and celebrating the connection to San Francisco’s ecological history. A robust stormwater management strategy links streetscape streams and bioswales (landscape elements that remove silt from runoff water) with a landscape of canals, reservoirs, and wetlands. Captured water will be retained for irrigation, street cleaning, and other uses. India Basin preserves the site’s salt marshes and grasslands, while forming an attractive and safe place to live for current and future residents.","SOM Projects Featured in A+U's San Francisco-Focused Issue
Three SOM Projects Honored in 2017 Architect's Newspaper Best of Design Awards
Poly International Plaza and India Basin Receive Spark Awards","2018
Urban Design Finalist: World Changing Ideas Award
Fast Company

2017
Spark Spaces: Bronze
Spark Awards

2017
Best of Design – Winner: Urban Design
Architect's Newspaper

2017
Award of Merit
AIA – California Council

","Location: San Francisco, California
Site Area: 24 acres
Market: Commercial + Office, Residential
Service: Architecture, Sustainable Design, Urban Design + Planning
"
Pioneer Park,"Gurgaon, India","Embodying a commitment to sustainable placemaking, the India Basin project proposes the transformation of acres of overgrown former industrial lands on San Francisco's bay into an active waterfront destination and a vibrant, diverse village. Developed in collaboration with city government agencies and residents of the area, SOM’s comprehensive design reconnects surrounding communities with the shoreline, cultivates economic opportunities, and provides mixed-income housing.
A rugged piece of urban land located north of the Bayview Hunters Point neighborhood, the site provides connection to the tranquility of San Francisco Bay and a breathtaking panoramic view that spans from downtown San Francisco to the East Bay mountains. The multiphase, mixed-use project creates a complete community that is human in scale with all basic services and amenities located within short walking distance. It interweaves parks, plazas, and open space with new pedestrian and bicycle-friendly connections, as well as buildings for residential, commercial, and community-serving purposes. Serving as the gateway to this new neighborhood and parkland, the India Basin Market Plaza and Boardwalk will provide a local and regional amenity for culture, commerce, and recreation.
The design also embraces the existing wild character of the land, responding to its specific hydrology and topography and celebrating the connection to San Francisco’s ecological history. A robust stormwater management strategy links streetscape streams and bioswales (landscape elements that remove silt from runoff water) with a landscape of canals, reservoirs, and wetlands. Captured water will be retained for irrigation, street cleaning, and other uses. India Basin preserves the site’s salt marshes and grasslands, while forming an attractive and safe place to live for current and future residents.","SOM Projects Featured in A+U's San Francisco-Focused Issue
Three SOM Projects Honored in 2017 Architect's Newspaper Best of Design Awards
Poly International Plaza and India Basin Receive Spark Awards","2018
Urban Design Finalist: World Changing Ideas Award
Fast Company

2017
Spark Spaces: Bronze
Spark Awards

2017
Best of Design – Winner: Urban Design
Architect's Newspaper

2017
Award of Merit
AIA – California Council

","Location: San Francisco, California
Site Area: 24 acres
Market: Commercial + Office, Residential
Service: Architecture, Sustainable Design, Urban Design + Planning
"
